epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,0.04821011424064636,0.06278388202190399
1,0.0010000000474974513,0.03288060054183006,0.04492538422346115
2,0.0010000000474974513,0.03017398715019226,0.038552917540073395
3,0.0010000000474974513,0.02829796075820923,0.036752261221408844
4,0.0010000000474974513,0.027074450626969337,0.03828294202685356
5,0.0010000000474974513,0.02675715461373329,0.03774398937821388
6,0.0010000000474974513,0.02579818107187748,0.03223089873790741
7,0.0010000000474974513,0.025525333359837532,0.05518579110503197
8,0.0010000000474974513,0.02482154406607151,0.03103489615023136
9,0.0010000000474974513,0.02472366951406002,0.03620375320315361
10,0.0010000000474974513,0.02431231550872326,0.04682949185371399
11,0.0010000000474974513,0.02407233603298664,0.027421845123171806
12,0.0010000000474974513,0.02387813851237297,0.023962022736668587
13,0.0010000000474974513,0.023795610293745995,0.03165408968925476
14,0.0010000000474974513,0.02381729520857334,0.025042297318577766
15,0.0010000000474974513,0.023501761257648468,0.0332176573574543
16,0.0010000000474974513,0.023564644157886505,0.027876686304807663
17,0.0010000000474974513,0.023170609027147293,0.030556539073586464
18,0.0005000000237487257,0.022298363968729973,0.02571762353181839
19,0.0005000000237487257,0.02209247648715973,0.02446289360523224
20,0.0005000000237487257,0.021949531510472298,0.02116004377603531
21,0.0005000000237487257,0.02199331670999527,0.025243163108825684
22,0.0005000000237487257,0.021840767934918404,0.021103112027049065
23,0.0005000000237487257,0.021876027807593346,0.02195814810693264
24,0.0005000000237487257,0.021578649058938026,0.018580108880996704
25,0.0005000000237487257,0.021496014669537544,0.025387706235051155
26,0.0005000000237487257,0.02163403108716011,0.02992773987352848
27,0.0005000000237487257,0.02160470560193062,0.020963633432984352
28,0.0005000000237487257,0.021661074832081795,0.01929377019405365
29,0.0005000000237487257,0.02156841568648815,0.02232777141034603
30,0.0002500000118743628,0.021231545135378838,0.019428856670856476
31,0.0002500000118743628,0.02113068476319313,0.023607922717928886
32,0.0002500000118743628,0.02106590010225773,0.01769258826971054
33,0.0002500000118743628,0.021034955978393555,0.01772165670990944
34,0.0002500000118743628,0.020945310592651367,0.017953595146536827
35,0.0002500000118743628,0.020964365452528,0.01631024293601513
36,0.0002500000118743628,0.020941007882356644,0.016860976815223694
37,0.0002500000118743628,0.020926697179675102,0.02133973315358162
38,0.0002500000118743628,0.020912421867251396,0.01846090517938137
39,0.0002500000118743628,0.020896486937999725,0.018232913687825203
40,0.0002500000118743628,0.020783275365829468,0.017263993620872498
41,0.0001250000059371814,0.020702756941318512,0.016211841255426407
42,0.0001250000059371814,0.02071159891784191,0.016256866976618767
43,0.0001250000059371814,0.020704137161374092,0.016851501539349556
44,0.0001250000059371814,0.02060099132359028,0.01685831882059574
45,0.0001250000059371814,0.020582355558872223,0.016576696187257767
