epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,0.2022041380405426,0.1822664588689804
1,0.0010000000474974513,0.18526344001293182,0.18169137835502625
2,0.0010000000474974513,0.18411849439144135,0.1821184903383255
3,0.0010000000474974513,0.1835339069366455,0.18080811202526093
4,0.0010000000474974513,0.18330350518226624,0.18037068843841553
5,0.0010000000474974513,0.18284015357494354,0.18111369013786316
6,0.0010000000474974513,0.18246574699878693,0.18058380484580994
7,0.0010000000474974513,0.18202786147594452,0.18058529496192932
8,0.0010000000474974513,0.18155160546302795,0.17973478138446808
9,0.0010000000474974513,0.18118725717067719,0.18027135729789734
10,0.0010000000474974513,0.1801600158214569,0.17469151318073273
11,0.0010000000474974513,0.17500951886177063,0.1755998581647873
12,0.0010000000474974513,0.17443935573101044,0.17471370100975037
13,0.0010000000474974513,0.17398932576179504,0.17480629682540894
14,0.0010000000474974513,0.17370057106018066,0.17448027431964874
15,0.0010000000474974513,0.17342406511306763,0.17421595752239227
16,0.0010000000474974513,0.1731284260749817,0.17496809363365173
17,0.0010000000474974513,0.1728125661611557,0.1747198849916458
18,0.0010000000474974513,0.17257001996040344,0.17459502816200256
19,0.0010000000474974513,0.17254875600337982,0.17460373044013977
20,0.0010000000474974513,0.17228876054286957,0.17469453811645508
21,0.0010000000474974513,0.17218171060085297,0.1740349978208542
22,0.0010000000474974513,0.17201660573482513,0.1739167720079422
23,0.0010000000474974513,0.17173774540424347,0.1755741983652115
24,0.0010000000474974513,0.17152905464172363,0.17480917274951935
25,0.0010000000474974513,0.17141097784042358,0.17403671145439148
26,0.0010000000474974513,0.1711183339357376,0.17443051934242249
27,0.0010000000474974513,0.1709650456905365,0.17519448697566986
28,0.0010000000474974513,0.17100141942501068,0.1752084344625473
29,0.0010000000474974513,0.17069005966186523,0.17518678307533264
30,0.0010000000474974513,0.17058680951595306,0.17383462190628052
31,0.0010000000474974513,0.17036980390548706,0.17483775317668915
32,0.0010000000474974513,0.17021748423576355,0.1749032884836197
33,0.0005000000237487257,0.16921420395374298,0.17413219809532166
34,0.0005000000237487257,0.16890966892242432,0.17444585263729095
